date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:51	47821/47821	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:26:52%20GMT	https://bitfxf.com/	C:/Users/hp/Desktop/track/investment/bitfxf.com/index.html	(from )
17:26:52	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-6252cd70-b56932b553a7e3f1;;;%22	https://bitfxf.com/robots.txt		(from )
17:26:53	1735/1735	---M-Z	200	added ('OK')	text/plain	etag:%226c7-6252cd72-134f0313eec78816;gz%22	https://bitfxf.com/storage/app/public/photos/upload-favicon.png1617293031	C:/Users/hp/Desktop/track/investment/bitfxf.com/storage/app/public/photos/upload-favicon.png1617293031	(from https://bitfxf.com/)
17:26:53	197425/197425	---M-Z	200	added ('OK')	text/css	etag:%2230331-6252cd72-141ace6903624b71;gz%22	https://bitfxf.com/temp/css/bootstrap.min.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/bootstrap.min.css	(from https://bitfxf.com/)
17:26:54	62152/62152	---M-Z	200	added ('OK')	text/css	etag:%22f2c8-6252cd72-671ad140e6739051;gz%22	https://bitfxf.com/temp/css/line.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/line.css	(from https://bitfxf.com/)
17:26:55	316661/316661	---M-Z	200	added ('OK')	text/css	etag:%224d4f5-6252cd72-96ab3d0f8c8cdab6;gz%22	https://bitfxf.com/temp/css/materialdesignicons.min.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/materialdesignicons.min.css	(from https://bitfxf.com/)
17:26:55	5219/5219	---M-Z	200	added ('OK')	text/css	etag:%221463-6252cd72-4b3298aa11bc08a1;gz%22	https://bitfxf.com/temp/css/flexslider.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/flexslider.css	(from https://bitfxf.com/)
17:26:55	7799/7799	---M-Z	200	added ('OK')	text/css	etag:%221e77-6252cd72-6bf318679b17c00b;gz%22	https://bitfxf.com/temp/css/magnific-popup.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/magnific-popup.css	(from https://bitfxf.com/)
17:26:56	3352/3352	---M-Z	200	added ('OK')	text/css	etag:%22d18-6252cd72-2c2cf4b0b84584bc;gz%22	https://bitfxf.com/temp/css/owl.carousel.min.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/owl.carousel.min.css	(from https://bitfxf.com/)
17:26:56	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-6252cd72-e5dc448f56b4fcc2;gz%22	https://bitfxf.com/temp/css/owl.theme.default.min.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/owl.theme.default.min.css	(from https://bitfxf.com/)
17:26:57	121039/121039	---M-Z	200	added ('OK')	text/css	etag:%221d8cf-6252cd72-eae9ffe12dfe2833;gz%22	https://bitfxf.com/temp/css/style.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/style.css	(from https://bitfxf.com/)
17:26:57	8771/8771	---M-Z	200	added ('OK')	text/css	etag:%222243-6252cd72-6e7e83471f71ac58;gz%22	https://bitfxf.com/temp/css/colors/default.css	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/css/colors/default.css	(from https://bitfxf.com/)
17:26:58	8446/8446	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622f402b-20fe%22	https://client.crisp.chat/l.js	C:/Users/hp/Desktop/track/investment/client.crisp.chat/l.js	(from https://bitfxf.com/)
17:26:58	19165/19165	---M--	200	added ('OK')	image/png	etag:%224add-6253511b-affd0e50ac81f5ef;;;%22	https://bitfxf.com/temp/images/logo-dark.png	C:/Users/hp/Desktop/track/investment/bitfxf.com/temp/images/logo-dark.png	(from https://bitfxf.com/)
17:26:58	8068/8068	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202023%2016:26:59%20GMT	https://bitfxf.com/login	C:/Users/hp/Desktop/track/investment/bitfxf.com/login.html	(from https://bitfxf.com/)
